"","date","state","cases"
"1","2020-01-22","New York","0"
"2","2020-01-23","New York","0"
"3","2020-01-24","New York","0"
"4","2020-01-25","New York","0"
"5","2020-01-26","New York","0"
"6","2020-01-27","New York","0"
"7","2020-01-28","New York","0"
"8","2020-01-29","New York","0"
"9","2020-01-30","New York","0"
"10","2020-01-31","New York","0"
"11","2020-02-01","New York","0"
"12","2020-02-02","New York","0"
"13","2020-02-03","New York","0"
"14","2020-02-04","New York","0"
"15","2020-02-05","New York","0"
"16","2020-02-06","New York","0"
"17","2020-02-07","New York","0"
"18","2020-02-08","New York","0"
"19","2020-02-09","New York","0"
"20","2020-02-10","New York","0"
"21","2020-02-11","New York","0"
"22","2020-02-12","New York","0"
"23","2020-02-13","New York","0"
"24","2020-02-14","New York","0"
"25","2020-02-15","New York","0"
"26","2020-02-16","New York","0"
"27","2020-02-17","New York","0"
"28","2020-02-18","New York","0"
"29","2020-02-19","New York","0"
"30","2020-02-20","New York","0"
"31","2020-02-21","New York","0"
"32","2020-02-22","New York","0"
"33","2020-02-23","New York","0"
"34","2020-02-24","New York","0"
"35","2020-02-25","New York","0"
"36","2020-02-26","New York","0"
"37","2020-02-27","New York","0"
"38","2020-02-28","New York","0"
"39","2020-02-29","New York","0"
"40","2020-03-01","New York","0"
"41","2020-03-02","New York","1"
"42","2020-03-03","New York","1"
"43","2020-03-04","New York","9"
"44","2020-03-05","New York","12"
"45","2020-03-06","New York","8"
"46","2020-03-07","New York","45"
"47","2020-03-08","New York","30"
"48","2020-03-09","New York","36"
"49","2020-03-10","New York","8"
"50","2020-03-11","New York","70"
"51","2020-03-12","New York","107"
"52","2020-03-13","New York","94"
"53","2020-03-14","New York","192"
"54","2020-03-15","New York","2"
"55","2020-03-16","New York","352"
"56","2020-03-17","New York","611"
"57","2020-03-18","New York","1460"
"58","2020-03-19","New York","2666"
"59","2020-03-20","New York","2699"
"60","2020-03-21","New York","3324"
"61","2020-03-22","New York","4073"
"62","2020-03-23","New York","5084"
"63","2020-03-24","New York","4797"
"64","2020-03-25","New York","5160"
"65","2020-03-26","New York","7036"
"66","2020-03-27","New York","6999"
"67","2020-03-28","New York","7534"
"68","2020-03-29","New York","7238"
"69","2020-03-30","New York","7015"
"70","2020-03-31","New York","9170"
"71","2020-04-01","New York","8115"
"72","2020-04-02","New York","8558"
"73","2020-04-03","New York","10481"
"74","2020-04-04","New York","10846"
"75","2020-04-05","New York","9327"
"76","2020-04-06","New York","8655"
"77","2020-04-07","New York","8060"
"78","2020-04-08","New York","11186"
"79","2020-04-09","New York","10718"
"80","2020-04-10","New York","10569"
"81","2020-04-11","New York","8678"
"82","2020-04-12","New York","8007"
"83","2020-04-13","New York","6716"
"84","2020-04-14","New York","7271"
"85","2020-04-15","New York","11434"
"86","2020-04-16","New York","9237"
"87","2020-04-17","New York","6906"
"88","2020-04-18","New York","6877"
"89","2020-04-19","New York","5908"
"90","2020-04-20","New York","5034"
"91","2020-04-21","New York","5103"
"92","2020-04-22","New York","4703"
"93","2020-04-23","New York","5238"
"94","2020-04-24","New York","8130"
"95","2020-04-25","New York","10553"
"96","2020-04-26","New York","5902"
"97","2020-04-27","New York","3951"
"98","2020-04-28","New York","3110"
"99","2020-04-29","New York","4585"
"100","2020-04-30","New York","4681"
"101","2020-05-01","New York","3942"
"102","2020-05-02","New York","4663"
"103","2020-05-03","New York","3438"
"104","2020-05-04","New York","2538"
"105","2020-05-05","New York","2239"
"106","2020-05-06","New York","2786"
"107","2020-05-07","New York","3491"
"108","2020-05-08","New York","2938"
"109","2020-05-09","New York","2715"
"110","2020-05-10","New York","2273"
"111","2020-05-11","New York","1660"
"112","2020-05-12","New York","1430"
"113","2020-05-13","New York","2176"
"114","2020-05-14","New York","2390"
"115","2020-05-15","New York","2762"
"116","2020-05-16","New York","2419"
"117","2020-05-17","New York","1889"
"118","2020-05-18","New York","1250"
"119","2020-05-19","New York","1474"
"120","2020-05-20","New York","1525"
"121","2020-05-21","New York","2088"
"122","2020-05-22","New York","1696"
"123","2020-05-23","New York","1772"
"124","2020-05-24","New York","1589"
"125","2020-05-25","New York","1249"
"126","2020-05-26","New York","1072"
"127","2020-05-27","New York","1129"
"128","2020-05-28","New York","1768"
"129","2020-05-29","New York","1551"
"130","2020-05-30","New York","1376"
"131","2020-05-31","New York","1110"
"132","2020-06-01","New York","941"
"133","2020-06-02","New York","1329"
"134","2020-06-03","New York","1045"
"135","2020-06-04","New York","1048"
"136","2020-06-05","New York","1075"
"137","2020-06-06","New York","1108"
"138","2020-06-07","New York","781"
"139","2020-06-08","New York","702"
"140","2020-06-09","New York","683"
"141","2020-06-10","New York","674"
"142","2020-06-11","New York","736"
"143","2020-06-12","New York","822"
"144","2020-06-13","New York","916"
"145","2020-06-14","New York","694"
"146","2020-06-15","New York","620"
"147","2020-06-16","New York","631"
"148","2020-06-17","New York","567"
"149","2020-06-18","New York","618"
"150","2020-06-19","New York","796"
