"","date","state","cases"
"1","2020-01-22","Ohio","0"
"2","2020-01-23","Ohio","0"
"3","2020-01-24","Ohio","0"
"4","2020-01-25","Ohio","0"
"5","2020-01-26","Ohio","0"
"6","2020-01-27","Ohio","0"
"7","2020-01-28","Ohio","0"
"8","2020-01-29","Ohio","0"
"9","2020-01-30","Ohio","0"
"10","2020-01-31","Ohio","0"
"11","2020-02-01","Ohio","0"
"12","2020-02-02","Ohio","0"
"13","2020-02-03","Ohio","0"
"14","2020-02-04","Ohio","0"
"15","2020-02-05","Ohio","0"
"16","2020-02-06","Ohio","0"
"17","2020-02-07","Ohio","0"
"18","2020-02-08","Ohio","0"
"19","2020-02-09","Ohio","0"
"20","2020-02-10","Ohio","0"
"21","2020-02-11","Ohio","0"
"22","2020-02-12","Ohio","0"
"23","2020-02-13","Ohio","0"
"24","2020-02-14","Ohio","0"
"25","2020-02-15","Ohio","0"
"26","2020-02-16","Ohio","0"
"27","2020-02-17","Ohio","0"
"28","2020-02-18","Ohio","0"
"29","2020-02-19","Ohio","0"
"30","2020-02-20","Ohio","0"
"31","2020-02-21","Ohio","0"
"32","2020-02-22","Ohio","0"
"33","2020-02-23","Ohio","0"
"34","2020-02-24","Ohio","0"
"35","2020-02-25","Ohio","0"
"36","2020-02-26","Ohio","0"
"37","2020-02-27","Ohio","0"
"38","2020-02-28","Ohio","0"
"39","2020-02-29","Ohio","0"
"40","2020-03-01","Ohio","0"
"41","2020-03-02","Ohio","0"
"42","2020-03-03","Ohio","0"
"43","2020-03-04","Ohio","0"
"44","2020-03-05","Ohio","0"
"45","2020-03-06","Ohio","0"
"46","2020-03-07","Ohio","0"
"47","2020-03-08","Ohio","0"
"48","2020-03-09","Ohio","0"
"49","2020-03-10","Ohio","3"
"50","2020-03-11","Ohio","1"
"51","2020-03-12","Ohio","1"
"52","2020-03-13","Ohio","7"
"53","2020-03-14","Ohio","14"
"54","2020-03-15","Ohio","4"
"55","2020-03-16","Ohio","20"
"56","2020-03-17","Ohio","17"
"57","2020-03-18","Ohio","22"
"58","2020-03-19","Ohio","30"
"59","2020-03-20","Ohio","54"
"60","2020-03-21","Ohio","74"
"61","2020-03-22","Ohio","109"
"62","2020-03-23","Ohio","87"
"63","2020-03-24","Ohio","124"
"64","2020-03-25","Ohio","137"
"65","2020-03-26","Ohio","164"
"66","2020-03-27","Ohio","269"
"67","2020-03-28","Ohio","269"
"68","2020-03-29","Ohio","247"
"69","2020-03-30","Ohio","280"
"70","2020-03-31","Ohio","266"
"71","2020-04-01","Ohio","348"
"72","2020-04-02","Ohio","354"
"73","2020-04-03","Ohio","411"
"74","2020-04-04","Ohio","427"
"75","2020-04-05","Ohio","304"
"76","2020-04-06","Ohio","410"
"77","2020-04-07","Ohio","329"
"78","2020-04-08","Ohio","366"
"79","2020-04-09","Ohio","364"
"80","2020-04-10","Ohio","366"
"81","2020-04-11","Ohio","372"
"82","2020-04-12","Ohio","352"
"83","2020-04-13","Ohio","373"
"84","2020-04-14","Ohio","310"
"85","2020-04-15","Ohio","509"
"86","2020-04-16","Ohio","620"
"87","2020-04-17","Ohio","693"
"88","2020-04-18","Ohio","1115"
"89","2020-04-19","Ohio","1380"
"90","2020-04-20","Ohio","1317"
"91","2020-04-21","Ohio","806"
"92","2020-04-22","Ohio","392"
"93","2020-04-23","Ohio","577"
"94","2020-04-24","Ohio","475"
"95","2020-04-25","Ohio","418"
"96","2020-04-26","Ohio","385"
"97","2020-04-27","Ohio","353"
"98","2020-04-28","Ohio","444"
"99","2020-04-29","Ohio","534"
"100","2020-04-30","Ohio","724"
"101","2020-05-01","Ohio","716"
"102","2020-05-02","Ohio","592"
"103","2020-05-03","Ohio","579"
"104","2020-05-04","Ohio","560"
"105","2020-05-05","Ohio","495"
"106","2020-05-06","Ohio","607"
"107","2020-05-07","Ohio","555"
"108","2020-05-08","Ohio","885"
"109","2020-05-09","Ohio","681"
"110","2020-05-10","Ohio","384"
"111","2020-05-11","Ohio","696"
"112","2020-05-12","Ohio","473"
"113","2020-05-13","Ohio","471"
"114","2020-05-14","Ohio","636"
"115","2020-05-15","Ohio","597"
"116","2020-05-16","Ohio","520"
"117","2020-05-17","Ohio","449"
"118","2020-05-18","Ohio","531"
"119","2020-05-19","Ohio","498"
"120","2020-05-20","Ohio","484"
"121","2020-05-21","Ohio","731"
"122","2020-05-22","Ohio","627"
"123","2020-05-23","Ohio","614"
"124","2020-05-24","Ohio","503"
"125","2020-05-25","Ohio","566"
"126","2020-05-26","Ohio","529"
"127","2020-05-27","Ohio","433"
"128","2020-05-28","Ohio","476"
"129","2020-05-29","Ohio","651"
"130","2020-05-30","Ohio","467"
"131","2020-05-31","Ohio","480"
"132","2020-06-01","Ohio","471"
"133","2020-06-02","Ohio","366"
"134","2020-06-03","Ohio","442"
"135","2020-06-04","Ohio","490"
"136","2020-06-05","Ohio","476"
"137","2020-06-06","Ohio","353"
"138","2020-06-07","Ohio","365"
"139","2020-06-08","Ohio","361"
"140","2020-06-09","Ohio","325"
"141","2020-06-10","Ohio","413"
"142","2020-06-11","Ohio","429"
"143","2020-06-12","Ohio","420"
"144","2020-06-13","Ohio","427"
"145","2020-06-14","Ohio","297"
"146","2020-06-15","Ohio","428"
"147","2020-06-16","Ohio","434"
"148","2020-06-17","Ohio","412"
"149","2020-06-18","Ohio","700"
"150","2020-06-19","Ohio","609"
